GLOSS	NUMBER	CHINESE	OMEGAWIKI
all	1	都	1173416
ash	2	灰烬	264
bark	3	树皮	5439
belly	4	肚子	5516
big	5	大	5437
bird	6	鸟	400
bite	7	咬	5993
black	8	黑	1341728
blood	9	血	411
bone	10	骨	5983
breasts	11	乳房	5992
burn	12	烧	6039
burn	12	烧	1299599
claw	13	爪子	828398
cloud	14	云	623
cold	15	冷	5639
come	16	来	6056
die	17	死	6245
dog	18	狗	966
drink	19	喝	5991
dry	20	干	5989
ear	21	耳朵	5510
earth	22	地	2063
eat	23	吃	5827
egg	24	蛋	340828
eye	25	眼睛	5511
feather	26	羽毛	5436
fire	27	火	1446
fish	28	鱼	1460
flesh	29	肉	1539792
fly	30	飞	6052
foot	31	脚	5672
full	32	满	6040
give	33	给	6059
good	34	好	443659
grease	35	猪油	1510501
green	36	绿	6032
hair	37	头发	446278
hand	38	手	5616
head	39	头	5527
hear	40	听	5999
heart	41	心	5475
horn	42	角（牛角）	5981
hot	43	热	5637
i	44	我	5450
kill	45	杀	6023
knee	46	膝	5918
know	47	知道	6004
leaf	48	叶子	2124
lie	49	躺	1425860
lie	49	躺	6005
liver	50	肝	5476
long	51	长	5438
louse	52	虱子	1510396
man	53	男人	6397
many	54	多	5423
moon	55	月亮	5729
mountain	56	山	2421
mouth	57	嘴	332000
name	58	名字	5995
neck	59	脖子	5823
new	60	新	5484
night	61	夜里	5486
nose	62	鼻子	5471
not	63	不	5495
one	64	一	6244
path	65	路	4382
person	66	人	333730
rain	67	雨	3100
red	68	红	1333710
root	69	根儿	3269
round	70	圆	5984
sand	71	沙子	3305
say	72	说	6075
see	73	看	6003
seed	74	种子	3361
sit	75	坐	6022
skin	76	皮肤	3430
sleep	77	睡觉	6519
small	78	小	5509
smoke	79	烟	3451
stand	80	站	6053
star	81	星	6041
stone	82	石头	3633
sun	83	太阳	5850
swim	84	游泳	6050
tail	85	尾巴	5468
that	86	那个	1149393
this	87	这个	5458
tongue	88	舌头	5440
tooth	89	牙齿	5946
tree	90	树	3854
two	91	二	6248
walk	92	走	6054
water	93	水	4118
we	94	我们	5455
what	95	什么	5491
white	96	白	5825
who	97	谁	5490
woman	98	女人	4165
yellow	99	黄	6031
you	100	你、您	5456
and	101	和（他和你都是学生）	6464
animal	102	动物	194
back	103	背（脊背）	5648
bad	104	坏	5650
because	105	因为	514093
blow	106	吹	1375415
breathe	107	吸	5998
child	108	小孩子	568
count	109	数	6026
cut	110	砍	6043
day	111	日子	5533
dig	112	挖	6024
dirty	113	脏	5483
dull	114	笨（不聪明）	6322
dust	115	灰尘	1009
fall	116	掉（掉下来）	5622
far	117	远	5997
father	118	父亲	5464
fear	119	怕	6025
few	120	少	5500
fight	121	打架	6030
five	122	五	156104
float	123	漂浮	6457
flow	124	流	961244
flower	125	花儿	1487
fog	126	雾	1502
four	127	四	6253
freeze	128	结冰	6042
fruit	129	水果	6280
grass	130	草	1675
guts	131	肠子	5824
he	132	他	5454
here	133	这里	1287831
hit	134	打	6044
hold-take	135	拿	6060
how	136	怎么	5494
hunt	137	打猎	6046
husband	138	丈夫	5432
ice	139	冰	1837
if	140	如果	6076
in	141	在	6077
lake	142	湖	2061
laugh	143	笑	5876
leftside	144	左边	1499731
leg	145	腿	5665
live(alive)	146	活	6028
mother	147	母亲	5463
narrow	148	窄	5566
near	149	近	869106
old	150	老（不年轻）	5482
play	151	玩儿	6010
pull	152	拉（拉车）	6071
push	153	推	6068
rightside	154	右边	436024
correct	155	对	7026
river	156	江	3253
rope	157	绳子	1542733
rope	157	绳子	5465
rotten	158	腐烂	7031
rub	159	擦	6062
salt	160	盐	5599
scratch	161	抓	6047
sea	162	海	6154
sew	163	缝	6073
sharp	164	尖	5987
short	165	短	6746
sing	166	唱	5540
sky	167	天	7039
smell	168	闻	6520
smooth	169	平	5487
snake	170	蛇	3388
snow	171	雪	3455
spit	172	吐	6051
split	173	撕	6048
squeeze	174	压	6017
stab	175	刺	6045
stick	176	棍子	5662
straight	177	直	5994
suck	178	吮	6027
swell	179	肿	6454
there	180	那里	858309
they	181	他们	352331
thick	182	厚	5503
thin	183	薄	5990
think	184	想（思索）	6021
three	185	三	156096
throw	186	扔（投掷）	6072
tie	187	捆	844574
turn	188	转	6526
vomit	189	呕吐	5617
wash	190	洗	6069
wet	191	湿	7027
where	192	哪里	5492
wide	193	宽	5502
wife	194	妻子	5429
wind	195	风	4160
wing	196	翅膀	5528
heavy	197	重	5451
woods	198	森林	4168
worm	199	虫	5466
year	200	年	5478
