ID	SPANISH	ENGLISH	OMEGAWIKI
1	LENGUA	TONGUE	5440
2	BOCA	MOUTH	332000
3	LABIO	LIP	154710
4	DIENTE	TOOTH	5946
5	NARIZ	NOSE	5471
6	OJO	EYE	5511
7	OREJA	EAR	5510
8	CABEZA	HEAD	5527
9	FRENTE	FOREHEAD	1241509
10	CABELLO	HAIR	446278
11	MENTÓN	CHIN	6306
12	BARBA	BEARD	333455
13	CUELLO	NECK	5823
14	PECHO	CHEST	6532
15	TETA, SENO, PECHO	WOMAN’S BREASTS	5992
16	VIENTRE, ABDOMEN	ABDOMEN, BELLY	5516
17	ESPALDA	BACK	5648
18	HOMBRO	SHOULDER	6186
19	BRAZO	ARM	6894
20	BRAZO SUPERIOR	UPPER ARM	1541167
21	CODO	ELBOW	422180
22	MANO	HAND	5616
23	DEDO DE LA MANO	FINGER	5675
24	UÑA	FINGERNAIL	5529
25	PIERNA	LEG	5665
26	MUSLO	THIGH	348189
27	RODILLA	KNEE	5918
28	ESPINILLA	SHIN	1398936
29	PIE	FOOT	5672
30	DEDO DEL PIE	TOE	5969
31	PIEL	SKIN	3430
32	HUESO	BONE	5983
33	SANGRE	BLOOD	411
34	CORAZÓN	HEART	5475
35	PULMONES	LUNGS	334158
36	PENE	PENIS	5473
37	VULVA	VULVA	7687
38	HOMBRE	MAN	6397
39	VARÓN	MALE	6396
40	MUJER	WOMAN	4165
41	GENTE	PEOPLE	345923
42	MARIDO, ESPOSO	HUSBAND	5432
43	ESPOSA	WIFE	5429
44	PADRE	FATHER	5464
45	MADRE	MOTHER	5463
46	CRIATURA	BABY, INFANT	5642
47	VIEJO	OLD	5482
48	AGUA	WATER	4118
49	RÍO	RIVER	3253
50	ISLA	ISLAND	2031
51	LAGO	LAKE	2061
52	PANTANO	SWAMP	5069
53	FUENTE, OJO DE AGUA	SPRING OF WATER	3596
54	CAÍDA DE AGUA	WATERFALL	4079
55	CATARATA, RAUDAL	RAPIDS	686508
56	CANDELA, FUEGO	FIRE	1446
57	CENIZA	ASH	264
58	CARBÓN	CHARCOAL	535
59	HUMO	SMOKE	3451
60	LEÑA	FIREWOOD	1024755
61	CIELO	SKY	7039
62	LLUVIA	RAIN	3100
63	VIENTO	WIND	4160
64	SOL	SUN	5850
65	LUNA	MOON	5729
66	ESTRELLA	STAR	6041
67	DÍA	DAY	5477
68	NOCHE	NIGHT	5486
69	TRUENO	THUNDER	509787
70	RELÁMPAGO	LIGHTNING	6811
71	ARCO IRIS	RAINBOW	7041
72	TIERRA	EARTH	2063
73	PIEDRA	STONE	3633
74	ARENA	SAND	3305
75	CASA	HOUSE	5517
76	TECHO	ROOF	344031
77	PUERTA	DOORWAY	6430
78	BANCO	SEAT, STOOL	6162
79	ESTERA	MAT	1405241
80	HAMACA	HAMMOCK	987151
81	CATRE, CAMA DE BARBACOA	BED	6851
82	OLLA	COOKING POT	6086
83	ROZA, SEMENTERA	CULTIVATED CLEARING	1425
84	CASERÍO	VILLAGE	3968
85	CAMINO, SENDERO, TROCHA	PATH, TRAIL	4382
86	RED	FISH NET	1511110
87	ANZUELO	FISH HOOK	461552
88	HACHA	AXE	333200
89	CUCHILLO	KNIFE	5873
90	CANOA	CANOE	911657
91	REMO	PADDLE	1478129
92	PORRA, MACANA	CLUB	713958
93	LANZA	SPEAR	408915
94	ARCO	BOW	427040
95	FLECHA	ARROW	420887
96	CERBATANA	BLOWGUN	1541173
97	DANTA	TAPIR	1510404
98	TIGRE	JAGUAR	5513
99	LEÓN, PUMA	PUMA	5961
100	ARMADILLO, QUINQUINCHO, CHUPA	ARMADILLO	817621
101	PERRO	DOG	966
102	VENADO	DEER	858
103	MURCIÉLAGO	BAT	7344
104	NUTRIA, PERRO DE AGUA	OTTER	1031630
105	CAPUCHÍN, MACHÍN	CEBUS MONKEY	1541218
106	MONO AULLADOR	HOWLER MONKEY	1541184
107	MARIMONDA, MAQUISAPA	SPIDER MONKEY	1541190
108	CHIGÜIRO, RONSOCO	CAPYBARA	1510424
109	OSO HORMIGUERO	ANTEATER	1385114
110	PACA, GUAGUA, MAJAS	PACA	1510460
111	CAIMÁN	CAYMAN	648694
112	IGUANA	IGUANA	647456
113	TORTUGA	TORTOISE	3788
114	TORTUGA, MOTELO	RIVER TURTLE	1200609
115	SAÍNO	COLLARED PECCARY	1541194
116	JABALÍ MAYOR	WHITE-LIPPED PECCARY	1541200
117	AGUTÍ	AGOUTI	1510408
118	RATA	RAT	6233
119	GATO	CAT	5446
120	RATÓN	MOUSE	6237
121	COLA	TAIL	5468
122	SERPIENTE, CULEBRA	SNAKE	3388
123	MAPANA	ANACONDA, WATER BOA	379150
124	CASCABEL	RATTLESNAKE	370629
125	CORAL	CORAL SNAKE	763
126	SAPO	TOAD	3784
127	PÁJARO	BIRD	400
128	PICAFLOR, COLIBRÍ	HUMMINGBIRD	652702
129	GUACAMAYO	MACAW	667122
130	TUCÁN, PINSHA	TOUCAN	1510388
131	LORO	PARROT	374495
132	PERICO, PIHUICHO	PARAKEET	375199
133	GALLINAZO	BUZZARD	8038
134	PAYO	CURASSOW	1510442
135	LECHUZA, BUHO	OWL	339205
136	PAVA DE MONTE	GUAN	1541204
137	GALLINA	HEN	6311
138	PESCADO	FISH	1460
139	CARIBE	PIRANHA	1510464
140	ABEJA	BEE	325
141	MOSCA	FLY	6261
142	PULGA	FLEA	1476
143	PIOJO	LOUSE	1510396
144	ZANCUDO	MOSQUITO	630453
145	COMEJÉN, HORMIGA BLANCA	TERMITE	3747
146	HORMIGA	ANT	160271
147	ARAÑA	SPIDER	3588
148	NIGUA, PIGUE	CHIGGOE, JIGGER FLEA	1541208
149	MONTE	BUSH	6933
150	PAJONAL, SABANA	OPEN GRASSLAND	1505696
151	CERRO, LOMA	HILL	1772
152	ÁRBOL	TREE	3854
153	HOJA	LEAF	2124
154	HOJA DE ÁRBOL	TREE LEAF	2124
155	FLOR	FLOWER	1487
156	FRUTA	FRUIT	6280
157	SAVIA	SAP	1510865
158	RAÍZ	ROOT	3269
159	SEMILLA	SEED	3361
160	PALO	STICK	1510840
161	HIERBA	GRASS	1675
162	MAÍZ	CORN, MAIZE	157264
163	YUCA	MANIOC	395809
164	HARINA DE YUCA	MANIOC FLOUR	1510514
165	TABACO	TOBACCO	420209
166	ALGODÓN	COTTON	781
167	CALABAZO PORO	GOURD	1526657
168	ÑAME	YAM	1526651
169	CAMOTE, BATATA	SWEET POTATO	1336889
170	ACHIOTE, BIJA	ACHIOTE	1510885
171	AJÍ	CHILI PEPPER	392603
172	COCA	COCA	1292296
173	AJAHUASCA, JAJÉ	BANISTERIUM	1505835
174	PLÁTANO	PLANTAIN	1511168
175	CHONTA	CHONTA PALM	1541228
178	CAÑA BRAVA	CANE	1310853
179	SAL	SALT	5599
180	CHICHA, MASATO	CHICHA	1541232
181	UNO	ONE	6244
182	DOS	TWO	6248
183	TRES	THREE	156096
184	CUATRO	FOUR	6253
185	CINCO	FIVE	156104
190	DIEZ	TEN	6312
191	PRIMERO	FIRST	338524
192	ÚLTIMO	LAST	6337
193	SONAJERO, MARACA	RATTLE	1508303
194	TAMBOR	DRUM	386380
195	CUSHMA	CUSHMA	1542267
196	OREJERA, ARETE	EAR ORNAMENT	344234
197	MÁSCARA	MASK	962485
198	CURANDERO	SHAMAN, FOLK HEALER	1511147
199	CACIQUE, CURACA, CAPITÁN	CHIEF	1508307
200	YO	I	5450
201	USTED	YOU (SINGULAR)	5459
202	ÉL	HE	5454
203	ELLA	SHE	7667
204	ELLO	IT	1370660
205	NOSOTROS	WE	5455
206	USTEDES	YOU (PLURAL)	5456
207	ELLOS	THEY	352331
208	MI MANO	MY HAND	NA
209	TU MANO	YOUR HAND	NA
210	SU MANO	HIS HAND	NA
211	NUESTRAS MANOS	OUR HANDS	NA
212	VUESTRAS MANOS	YOUR (PLUR.) HANDS	NA
213	SUS MANOS (DE ELLOS)	THEIR HANDS	NA
214	MI ARCO	MY BOW	NA
215	TU ARCO	YOUR (SING.) BOW	NA
216	SU ARCO - DE ÉL	HIS BOW	NA
217	NUESTRO ARCO	OUR BOW	NA
218	SU ARCO DE USTEDES	YOUR (PLUR.) BOW	NA
219	SU ARCO - DE ELLOS	THEIR BOW	NA
220	GRANDE	BIG	5437
221	PEQUEÑO	SMALL	5509
222	FRÍO	COLD	5639
223	CALIENTE	HOT	5637
224	BUENO	GOOD	443659
225	MALO	BAD	5650
226	BLANCO	WHITE	5825
227	NEGRO	BLACK	1341728
228	VAYA, VE	GO	334831
229	VEN	COME	NA
230	COME	EAT	NA
231	BEBE	DRINK	NA
232	DUERME	SLEEP	NA
233	CORONA	CROWN OF HEAD	870564
234	DIENTES DELANTEROS INCISIVOS	FRONT TEETH, INEISORS	1541236
235	PUNTA DE LA LENGUA	TIP OF TONGUE	1541242
236	PELO LARGO	LONG HAIR	1541248
237	LA GARGANTA Y CUELLO	THE NECK REGION	5862
238	NUEZ DE LA GARGANTA	ADAM’S APPLE	348242
239	ESPALDA, PARTE SUPERIOR	UPPER BACK	1541252
240	ANTEBRAZO	LOWER ARM	1541256
241	MUÑECA	WRIST	348173
242	LA PIERNA INFERIOR	LOWER LEG	1541261
243	EL PELO DEL CUERPO	BODY HAIR	1399403
244	ESTÓMAGO	STOMACH	352530
245	INTESTĨNOS, TRIPAS	INTESTINES	950344
246	VIEJITA	OLD WOMAN	385678
247	NUBES QUIETAS	CLOUDS AT REST	623
248	NUBES DE TORMENTA	STORM CLOUDS	1541265
249	SEMENTERA DE MAÍZ	CORN FIELD	1541269
250	QUEBRADA, CAÑO	STREAM	411075
251	PIEDRECILLAS	PEBBLES	416275
252	ROCAS GRANDES	HUGE ROCKS	3266
253	TROCHA	PATH	4382
255	RANCHO	SHELTER	691328
256	ESTE	THIS	5458
257	AQUEL	THAT	1149393
258	QUIÉN	WHO	5490
259	QUÉ	WHAT	5491
260	NO	NOT	5495
261	TODOS	ALL	1173416
262	MUCHO(S)	MANY	5423
263	LARGO	LONG	5438
264	CORTEZA	BARK	5439
265	CARNE	FLESH	1539792
267	GRASA	GREASE, ANIMAL FAT	1510501
268	HUEVO	EGG	340828
269	CUERNO	HORN	5981
270	PLUMA	FEATHER	5436
271	UÑA, GARRA	FINGERNAIL, CLAW	828398
272	BARRIGA	BELLY	5516
273	HÍGADO	LIVER	5476
274	BEBER	DRINK	5991
275	COMER	EAT	5827
276	MORDER	BITE	5993
277	VER	SEE	6003
278	OÍR	HEAR	5999
279	SABER	KNOW	6004
280	DORMIR	SLEEP	6519
281	MORIR	DIE	6245
282	MATAR	KILL	6023
283	NADAR	SWIM	6050
284	VOLAR	FLY	6052
285	ANDAR	WALK	6054
286	VENIR	COME	6056
287	ACOSTARSE	LIE DOWN	1425860
288	SENTARSE, SENTADO	SIT	6022
289	PONERSE EN PIE, DE PIE	STAND	6053
290	DAR	GIVE	6059
291	DECIR	SAY	6075
292	ARDER	BURN	6039
293	MONTAÑA	MOUNTAIN	2421
294	ROJO	RED	1333710
295	VERDE	GREEN	6032
296	AMARILLO	YELLOW	6031
297	LLENO	FULL	6040
298	NUEVO	NEW	5484
299	REDONDO	ROUND	5984
300	SECO	DRY	5989
301	NOMBRE	NAME	5995
302	COMO	HOW	5494
303	CUANDO	WHEN	5493
304	DONDE	WHERE	5492
305	AQUÍ	HERE	1287831
306	ALLÍ	THERE	858309
307	OTRO	OTHER	1406403
308	POCO	FEW	5500
309	NEBLINA	FOG	1502
310	FLUIR	FLOW	961244
311	MAR	SEA	6154
312	MOJADO	WET	7027
313	LAVAR	WASH	6069
314	GUSANO	WORM	5466
315	ALA	WING	5528
316	PIEL PELUDA	FUR	1590
317	OMBLIGO	NAVEL	7690
318	SALIVA	SALIVA	6259
319	LECHE	MILK	2358
320	CON	WITH	5844
321	EN	IN	6077
322	EN, LUGAR DEFINIDO	AT	6078
323	SI	IF	6076
324	HIELO	ICE	1837
325	NIEVE	SNOW	3455
326	HELARSE	FREEZE	6042
327	NIÑO	CHILD	568
328	OSCURO	DARK	335607
329	CORTAR	CUT	6043
330	ANCHO	WIDE	5502
331	ESTRECHO	NARROW	5566
332	LEJOS	FAR	5997
333	CERCA	NEAR	869106
334	GRUESO	THICK	5503
335	DELGADO	THIN	5990
336	CORTO	SHORT	6746
337	PESADO	HEAVY	5451
338	EMBOTADO	DULL	1511061
339	AFILADO	SHARP	5987
340	SUCIO	DIRTY	5483
341	PODRIDO	ROTTEN	7031
342	LISO	SMOOTH	5487
343	RECTO	STRAIGHT	5994
344	CORRECTO	CORRECT	7026
345	IZQUIERDO	LEFT	1499731
346	DERECHO	RIGHT	436024
347	VIEJO	OLD MAN	1526622
348	FROTAR	RUB	6062
349	JALAR, HALAR	PULL	6071
350	EMPUJAR	PUSH	6068
351	BOTAR, TIRAR	THROW	6072
352	GOLPEAR	HIT	6044
353	HENDER	SPLIT	6048
354	PUNZAR	PIERCE	1511162
355	CAVAR	DIG	6024
356	ATAR	TIE	844574
357	COSER	SEW	6073
358	CAER	FALL	5622
359	HINCHAR	SWELL	6454
360	PENSAR	THINK	6021
361	CANTAR	SING	5540
362	OLER	SMELL	6520
363	VOMITAR	VOMIT	5617
364	CHUPAR	SUCK	6027
365	SOPLAR	BLOW	1375415
366	TEMER	FEAR	6025
367	APRETAR, EXPRIMIR	TIGHTEN, SQUEEZE	6017
368	SOSTENER	HOLD	6060
369	ABAJO	DOWN	5797
370	ARRIBA	UP	6531
371	MADURO	RIPE	1378364
372	POLVO	DUST	1009
373	VIVO	ALIVE	6028
374	CUERDA	ROPE	5465
