NUMBER	GLOSS	OMEGAWIKI
1	all (of a number)	1173416
2	and	6464
3	animal	194
4	ashes	264
5	at	6078
6	back (person's)	5648
7	bad (deleterious or unsuitable)	5650
8	bark	5439
9	because	514093
10	belly	5516
11	berry (or fruit)	384870
11	berry (or fruit)	6280
12	big	5437
13	bird	400
14	to bite	5993
15	black	1341728
16	blood	411
17	to blow (of wind)	1375415
18	bone	5983
19	to breathe	5998
20	to burn (intrans)	6039
21	child (young person rather than as relationship term)	568
22	cloud	623
23	cold (of weather)	5639
24	to come	6056
25	to count	6026
26	to cut	6043
27	day (opposite of night rather than time measure)	5477
28	to die	6245
29	to dig	6024
30	dirty	5483
31	dog	966
32	drink	339
33	dry (substance)	5989
34	dull (knife)	1511061
35	dust	1009
36	ear	5510
37	earth (soil)	2063
37	earth (soil)	5481
38	to eat	5827
39	egg	340828
40	eye	5511
41	to fall (drop rather than topple)	341382
42	far	5997
43	fat (organic substance)	5624
44	father	5464
45	to fear	6025
46	feather (larger feathers rather than down)	5436
47	few	5500
48	to fight	6030
49	fire	1446
50	fish	1460
51	five	156104
52	to float	6457
53	to flow	961244
54	flower	1487
55	to fly	6052
56	fog	1502
57	foot	5672
58	four	6253
59	to freeze	6042
60	to give	6059
61	good	443659
62	grass	1675
63	green	6032
64	guts	5824
65	hair	446278
66	hand	5616
67	he	5454
68	head	5527
69	to hear	5999
70	heart	5475
71	heavy	5451
72	here	1287831
73	to hit	6044
74	to hold (in hand)	6060
75	how	5494
76	to hunt (game)	6046
77	husband	5432
78	I	5450
79	ice	1837
80	if	6076
81	in	6077
82	to kill	6023
83	to know (facts)	6004
84	lake	2061
85	to laugh	5876
86	leaf	2124
87	left (hand)	1499731
88	leg	5665
89	to lie	6005
90	to live	478515
91	liver	5476
92	long	5438
93	louse	1510396
94	man (male human)	6397
95	many	5423
96	meat (flesh)	2300
97	mother	5463
98	mountain	2421
99	mouth	332000
100	name	5995
101	narrow	5566
102	near	869106
103	neck	5823
104	new	5484
105	night	5486
106	nose	5471
107	not	5495
108	old	5482
109	one	6244
110	other	1406403
111	person	333730
112	to play	6010
113	to pull	6071
114	to push	6068
115	to rain	3100
116	red	1333710
117	right (correct)	7026
118	right (hand)	436024
119	river	3253
120	road (or trail)	3258
121	root	3269
122	rope	5465
123	rotten (especially log)	7031
124	to rub	6062
125	salt	5599
126	sand	3305
127	say	6075
128	to scratch (as with fingernails to relieve itch)	6047
129	sea (ocean)	6154
130	see	6003
131	seed	3361
132	to sew	6073
133	sharp (as knife)	5987
134	short	6746
135	to sing	5540
136	sit	6022
137	skin (person's)	1507419
138	sky	7039
139	sleep	6519
140	small	5509
141	to smell (perceive odor)	6520
142	smoke (of fire)	3451
143	smooth	5487
144	snake	763
145	snow	3455
146	some	5499
147	to spit	6051
148	to split	6048
149	to squeeze	6017
150	to stab (or stick)	6045
151	to stand	6053
152	star	6041
153	stick (of wood)	5662
154	stone	3633
155	straight	5994
156	to suck	6027
157	sun	5850
158	to swell	6454
159	to swim	6050
160	tail	5468
161	that	1149393
162	there	858309
163	they	352331
164	thick	5503
165	thin	5990
166	to think	6021
167	this	5458
168	thou	5459
169	three	156096
170	to throw	6072
171	to tie	844574
172	tongue	5440
173	tooth (front rather than molar)	5946
173	tooth (front rather than molar)	1541236
174	tree	3854
175	to turn (change one's direction)	6055
176	two	6248
177	to vomit	5617
178	to walk	6054
179	warm (of weather)	5485
180	to wash	6069
181	water	4118
182	we	5455
183	wet	7027
184	what?	5491
185	when?	5493
186	where?	5492
187	white	5825
188	who?	5490
189	wide	5502
190	wife	5429
191	wind	4160
192	wing	5528
193	to wipe	6070
194	with (accompanying)	5844
195	woman	4165
196	woods	4168
197	worm	5466
198	ye	5459
199	year	5478
200	yellow	6031

